Gene Ontology	Bacteria	Paper ID
immune system process	Haemophilus influenzae	22306269
leukocyte activation	Haemophilus influenzae	28330478
lymphocyte activation	Haemophilus influenzae	28330478
immune system process	Haemophilus influenzae	28330478
leukocyte activation	Haemophilus influenzae	30283440
lymphocyte activation	Haemophilus influenzae	30283440
immune system process	Haemophilus influenzae	30283440
leukocyte activation	Haemophilus influenzae	9916091
lymphocyte activation	Haemophilus influenzae	9916091
immune system process	Haemophilus influenzae	9916091
leukocyte activation	Haemophilus influenzae	32944082
lymphocyte activation	Haemophilus influenzae	32944082
immune system process	Haemophilus influenzae	32944082
leukocyte activation	Haemophilus influenzae	30464537
lymphocyte activation	Haemophilus influenzae	30464537
immune system process	Haemophilus influenzae	30464537
leukocyte activation	Haemophilus influenzae	27759429
lymphocyte activation	Haemophilus influenzae	27759429
immune system process	Haemophilus influenzae	27759429
leukocyte activation	Haemophilus influenzae	27211564
lymphocyte activation	Haemophilus influenzae	27211564
immune system process	Haemophilus influenzae	27211564
leukocyte activation	Haemophilus influenzae	30532012
lymphocyte activation	Haemophilus influenzae	30532012
immune system process	Haemophilus influenzae	30532012
leukocyte activation	Haemophilus influenzae	12225590
lymphocyte activation	Haemophilus influenzae	12225590
immune system process	Haemophilus influenzae	12225590
leukocyte activation	Legionella pneumophila	32937051
lymphocyte activation	Legionella pneumophila	32937051
immune system process	Legionella pneumophila	32937051
leukocyte activation	Legionella pneumophila	24006947
lymphocyte activation	Legionella pneumophila	24006947
immune system process	Legionella pneumophila	24006947
leukocyte activation	Legionella pneumophila	30904196
lymphocyte activation	Legionella pneumophila	30904196
immune system process	Legionella pneumophila	30904196
leukocyte activation	Legionella pneumophila	1729375
lymphocyte activation	Legionella pneumophila	1729375
immune system process	Legionella pneumophila	1729375
leukocyte activation	Staphylococcus aureus	12719481
lymphocyte activation	Staphylococcus aureus	12719481
immune system process	Staphylococcus aureus	12719481
leukocyte activation	Staphylococcus aureus	32433711
lymphocyte activation	Staphylococcus aureus	32433711
immune system process	Staphylococcus aureus	32433711
leukocyte activation	Staphylococcus aureus	32906840
lymphocyte activation	Staphylococcus aureus	32906840
immune system process	Staphylococcus aureus	32906840
leukocyte activation	Staphylococcus aureus	25086580
lymphocyte activation	Staphylococcus aureus	25086580
immune system process	Staphylococcus aureus	25086580
leukocyte activation	Staphylococcus aureus	29867970
lymphocyte activation	Staphylococcus aureus	29867970
